state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	4.805	8.220	0.3908	0.1767	0.2047	0.2279	0.3641	0.2182	0.1713	0.2464	0.6374	1.7253	5.0954E-3	15.226	18.216	1213.015
2000000	4.952	8.516	0.3696	0.1905	0.2084	0.2315	0.3631	0.2130	0.1757	0.2481	0.6499	1.7002	5.0798E-3	14.460	19.168	1187.150
3000000	4.831	8.525	0.3787	0.1743	0.2203	0.2266	0.3640	0.2140	0.1721	0.2499	0.6333	1.7333	5.0289E-3	15.665	19.326	1207.516
4000000	4.911	8.620	0.4017	0.1759	0.2054	0.2171	0.3660	0.2126	0.1685	0.2530	0.6239	1.7522	5.0337E-3	15.076	17.682	1217.841
5000000	4.897	8.417	0.3786	0.1829	0.1991	0.2394	0.3662	0.2116	0.1748	0.2474	0.6274	1.7452	4.999E-3	14.804	18.458	1207.069
6000000	4.870	8.836	0.3652	0.1795	0.2146	0.2407	0.3725	0.2082	0.1746	0.2448	0.6272	1.7455	4.9542E-3	16.149	18.096	1237.367
7000000	4.828	8.425	0.3868	0.1815	0.2077	0.2239	0.3696	0.2096	0.1637	0.2572	0.6369	1.7262	4.9552E-3	14.986	19.029	1220.985
8000000	4.891	8.558	0.3802	0.1816	0.2226	0.2156	0.3702	0.2079	0.1689	0.2531	0.6304	1.7392	5.099E-3	14.700	19.127	1200.256
9000000	4.988	8.550	0.3814	0.1883	0.2125	0.2178	0.3608	0.2151	0.1759	0.2482	0.6269	1.7462	5.0405E-3	15.360	18.519	1220.295
10000000	5.010	8.873	0.3802	0.1762	0.2155	0.2281	0.3647	0.2099	0.1752	0.2502	0.6392	1.7216	4.9991E-3	15.013	17.816	1216.783
11000000	4.765	9.070	0.3787	0.1897	0.2087	0.2229	0.3718	0.2024	0.1734	0.2524	0.6277	1.7446	4.8989E-3	15.525	18.495	1237.602
12000000	4.635	8.924	0.3763	0.1863	0.2121	0.2253	0.3830	0.2037	0.1761	0.2373	0.6375	1.7249	4.9343E-3	15.023	19.377	1212.790
13000000	4.897	8.554	0.3852	0.1773	0.2204	0.2171	0.3850	0.2080	0.1688	0.2381	0.6453	1.7095	5.0325E-3	15.616	18.249	1213.782
14000000	4.851	8.765	0.3796	0.1852	0.2149	0.2204	0.3664	0.2160	0.1754	0.2421	0.6420	1.7159	4.9602E-3	15.696	19.272	1233.573
15000000	4.923	8.897	0.3796	0.1771	0.2131	0.2301	0.3718	0.2071	0.1744	0.2467	0.6306	1.7387	4.9248E-3	15.535	19.440	1230.788
16000000	4.676	8.837	0.3819	0.1772	0.2107	0.2301	0.3655	0.2209	0.1748	0.2388	0.6289	1.7422	4.8992E-3	16.379	18.522	1242.034
17000000	4.859	8.711	0.3814	0.1738	0.2167	0.2280	0.3651	0.2119	0.1720	0.2510	0.6262	1.7476	4.9722E-3	16.275	18.524	1232.222
18000000	5.036	8.225	0.3863	0.1804	0.2208	0.2124	0.3642	0.2030	0.1785	0.2543	0.6305	1.7389	4.9911E-3	15.642	18.953	1226.988
19000000	4.556	8.594	0.3882	0.1775	0.2139	0.2204	0.3694	0.2158	0.1637	0.2511	0.6240	1.7520	4.975E-3	14.885	17.986	1218.802
20000000	4.851	8.370	0.3881	0.1722	0.2143	0.2254	0.3592	0.2197	0.1753	0.2457	0.6364	1.7272	5.0097E-3	14.953	19.067	1218.833
21000000	4.658	9.163	0.3773	0.1920	0.2158	0.2149	0.3690	0.2178	0.1722	0.2410	0.6322	1.7356	5.122E-3	14.453	19.072	1189.271
22000000	5.054	8.533	0.3885	0.1845	0.1983	0.2287	0.3598	0.2188	0.1703	0.2511	0.6260	1.7480	5.0387E-3	14.869	19.259	1205.329
23000000	4.944	8.510	0.3808	0.1818	0.2088	0.2285	0.3670	0.2153	0.1748	0.2429	0.6431	1.7138	5.148E-3	14.953	18.019	1205.286
24000000	4.899	8.858	0.3803	0.1877	0.2110	0.2210	0.3665	0.2144	0.1680	0.2512	0.6330	1.7340	4.9705E-3	15.602	19.594	1225.923
25000000	5.098	8.200	0.3936	0.1863	0.2013	0.2188	0.3723	0.2098	0.1701	0.2478	0.6238	1.7523	5.0083E-3	15.283	19.933	1212.476
26000000	4.775	8.002	0.3870	0.1842	0.2071	0.2217	0.3576	0.2208	0.1736	0.2479	0.6187	1.7627	5.0334E-3	14.857	17.908	1198.670
27000000	4.592	8.687	0.3841	0.1774	0.2137	0.2249	0.3792	0.2146	0.1670	0.2392	0.6491	1.7017	4.8812E-3	15.387	18.661	1216.584
28000000	5.035	8.598	0.3762	0.1841	0.2101	0.2295	0.3706	0.2106	0.1787	0.2401	0.6195	1.7610	5.0559E-3	15.112	18.634	1215.618
29000000	4.993	8.615	0.3819	0.1807	0.2087	0.2287	0.3635	0.2166	0.1693	0.2506	0.6258	1.7484	5.2055E-3	14.216	18.741	1185.763
30000000	4.729	8.075	0.3916	0.1727	0.2143	0.2213	0.3674	0.2057	0.1775	0.2494	0.6268	1.7464	5.0485E-3	15.222	18.372	1207.443
31000000	4.715	9.056	0.3877	0.1693	0.2207	0.2223	0.3681	0.2123	0.1676	0.2519	0.6394	1.7212	5.0795E-3	14.981	19.045	1200.743
32000000	4.975	8.112	0.3892	0.1751	0.2231	0.2125	0.3690	0.2157	0.1695	0.2458	0.6501	1.6998	5.0044E-3	15.644	18.649	1234.692
33000000	4.719	9.217	0.3960	0.1792	0.2079	0.2169	0.3788	0.2049	0.1706	0.2457	0.6374	1.7251	5.0638E-3	15.307	17.966	1192.067
34000000	4.820	8.722	0.3861	0.1698	0.2097	0.2345	0.3781	0.2143	0.1679	0.2396	0.6314	1.7372	4.9031E-3	15.251	19.017	1220.786
35000000	4.740	8.685	0.3836	0.1778	0.2096	0.2289	0.3695	0.2242	0.1685	0.2379	0.6165	1.7670	4.7632E-3	16.148	19.778	1263.643
36000000	5.021	8.493	0.3836	0.1775	0.2202	0.2187	0.3572	0.2189	0.1674	0.2566	0.6282	1.7436	5.0012E-3	16.052	19.474	1231.953
