state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	10.626	14.972	17.759	5.0246E-2	5.4606E-2	1.1373	0.4624	0.2652	2.2724	0.3019	0.1764	0.3509	0.1707	0.2632	0.2228	0.2227	0.2913	0.2211	0.2935	0.2574	0.2279	9.8833E-4	3.1455E-4	9.8792E-4	0.3133	2.0587E-2	0.538	4.795	229.418
2000000	10.990	15.596	16.820	6.5803E-2	2.5447E-2	1.4342	0.4160	0.2527	2.3313	0.2969	0.1933	0.3430	0.1669	0.2679	0.2221	0.2254	0.2847	0.2151	0.2828	0.2653	0.2368	1.0229E-3	3.7977E-4	1.0003E-3	0.3770	-6.0342E-2	0.394	4.638	223.096
3000000	13.074	12.985	20.221	3.724E-2	9.4794E-2	1.2418	0.4030	0.2904	2.3066	0.2899	0.1835	0.3499	0.1768	0.2656	0.2393	0.2211	0.2740	0.2275	0.2845	0.2658	0.2221	1.0382E-3	3.9882E-4	1.048E-3	0.3629	-6.0992E-2	0.205	4.781	219.046
4000000	12.078	13.410	18.160	3.0621E-2	6.4182E-2	1.1733	0.4574	0.2528	2.2899	0.3001	0.1910	0.3353	0.1736	0.2614	0.2249	0.2362	0.2776	0.2094	0.2802	0.2591	0.2513	1.062E-3	4.2131E-4	9.8743E-4	0.3845	-5.3999E-2	0.449	4.640	224.286
5000000	13.572	16.231	20.821	2.49E-2	6.6452E-2	1.2458	0.4876	0.2450	2.2674	0.2838	0.1876	0.3482	0.1803	0.2647	0.2348	0.2217	0.2789	0.2229	0.2808	0.2569	0.2394	1.238E-3	6.7068E-4	1.1518E-3	0.5305	-0.1045	0.186	4.598	198.607
6000000	11.469	18.796	17.921	2.3906E-2	5.6843E-2	0.9835	0.4403	0.2698	2.2899	0.2936	0.1806	0.3500	0.1758	0.2695	0.2255	0.2191	0.2859	0.2109	0.2938	0.2521	0.2433	1.2102E-3	6.4794E-4	1.1165E-3	0.4903	3.0386E-2	0.150	4.491	202.163
7000000	15.447	18.487	20.254	3.824E-2	0.1032	0.8860	0.5129	0.2319	2.2552	0.2899	0.1978	0.3431	0.1693	0.2644	0.2318	0.2176	0.2862	0.2264	0.2877	0.2609	0.2250	1.0304E-3	5.2627E-4	9.7395E-4	0.4763	-1.4454E-2	0.410	4.729	232.644
8000000	10.702	13.648	17.078	1.8723E-2	5.5605E-2	0.9981	0.4171	0.2458	2.3372	0.2969	0.1932	0.3349	0.1750	0.2701	0.2250	0.2197	0.2852	0.2221	0.2914	0.2565	0.2300	1.0516E-3	4.7039E-4	1.0002E-3	0.4412	-3.9505E-2	0.296	4.706	218.826
9000000	11.790	23.850	18.307	3.1049E-2	4.9539E-2	0.9943	0.4479	0.2454	2.3066	0.2955	0.1935	0.3399	0.1711	0.2586	0.2446	0.2151	0.2817	0.2135	0.2809	0.2578	0.2478	1.0403E-3	4.8112E-4	1.0143E-3	0.4446	9.3207E-3	0.133	4.810	224.468
10000000	16.497	12.745	16.372	5.9851E-2	4.579E-2	1.1309	0.4547	0.2698	2.2755	0.2944	0.1836	0.3445	0.1776	0.2477	0.2299	0.2269	0.2956	0.2160	0.2921	0.2672	0.2247	9.9059E-4	3.884E-4	9.7645E-4	0.3714	-9.1585E-3	0.226	4.610	224.407
